name,SiO2,Al2O3,MgO,CaO,FeO,Na2O,K2O,MnO,TiO2,P2O5,CO2,H2O,F,S,Cl,total
PI032-04-01,49.40260141,14.53906171,6.509044375,10.05873496,9.75753592,3.737373649,0.697769165,0.132497171,2.54858104,0.289823203,0.628502185,1.440208137,0.078857296,0.145452095,0.033957687,100
PI032-04-02,48.83220501,15.11689598,6.508617647,9.688641811,9.927146122,3.564376775,0.940308245,0.135904938,2.652551544,0.33632746,0.672345275,1.330865375,0.083879259,0.16539439,0.04454017,100
PI041-02-02,49.1249169,16.95013829,4.861450527,9.183851765,10.23835715,3.788617162,1.077791318,0.153257645,2.804343507,0.561030842,0.463920287,0.655493607,0.047653572,0.068020036,0.021157395,100
PI041-03-01,45.94108562,15.75345326,6.90984384,10.99650975,10.77883353,3.346468498,1.144851958,0.112116953,3.153302679,0.551992334,0.797715452,0.2933415,0.079498679,0.086862954,0.054122985,100
PI041-03-03,45.31333828,15.9095307,6.831676099,11.17527562,10.96683448,3.417548215,1.16755,0.088898776,3.26246281,0.517891207,0.821115788,0.311131088,0.081712619,0.079494578,0.055539739,100
PI041-05-04,47.71562995,18.54671416,3.870578971,9.376458193,9.618915744,4.589125943,1.603096458,0.137750404,2.481160267,0.823384717,0.508934302,0.460626225,0.087563833,0.121171079,0.058889761,100
PI041-05-06,46.36672707,16.97744464,4.740380022,8.926490679,11.61978748,4.003462428,1.417411607,0.167673283,3.635525469,0.619743662,0.640334995,0.585983797,0.107461077,0.128171757,0.063402036,100
PI041-07-01,45.86031699,15.46205377,6.735783691,9.823929811,11.54431526,3.177835113,1.29155724,0.144988786,3.585744269,0.563225108,0.474769651,1.036191842,0.076231323,0.165883653,0.057173492,100
PI041-07-02,45.8709915,15.66028907,6.672665873,10.12889759,11.51626906,3.207467208,1.367795473,0.135044252,3.554263252,0.619512033,0.374268577,0.619681575,0.073986778,0.141181625,0.057686142,100
PI052-01-02,49.29532831,17.1386109,3.775658352,10.45371513,8.398151431,4.96091923,1.543421264,0.235835797,1.776185289,0.689590614,0.290154686,1.130481695,0.082772627,0.127258836,0.054057813,100
