ref,run,SiO2,TiO2,Al2O3,MgO,CaO,Na2O,K2O,P2O5,MnO,CoO,NiO,Pb,FeO,T_K,fO2,_Fe3Fe2,P_bar
A2019,S6776,56.4,3.53,13.3,2.77,7.49,4.4,0.63,0,,,,,8.647176539,2573.15,11819900,17.13811002,230000
A2019,S6606,57.76,2.47,15.3,1.77,6.39,4.8,1.03,0,,,,,6.52362434,2573.15,11819900,13.42520163,230000
A2019,Z1850,45.06,0.75,18.33,10.2,12.87,2.23,0,0,,,,,8.098292284,2473.15,1121269,1.024901558,180000
A2019,Z1791,50.22,2.37,15.7,8.57,12.34,3.3,0,0,,,,,7.243472543,2473.15,1121269,0.590352433,180000
A2019,Z1626,52.45,2.4,14.47,2.22,6.53,5.17,0.58,0,,,,,13.78509309,2473.15,9.32E-04,0.052631579,150000
A2019,Z1647,53.6,3.1,14.48,2.18,7.45,4.81,0.8,0,,,,,12.58834545,2473.15,9.55E-03,0.136363636,200000
A2019,Z1630,54,2.68,13.8,2.04,6.46,4.2,0.7,0,,,,,14.68490334,2473.15,2.38E-03,0.063829787,170000
A2019,S6654,55.13,2.36,16.75,2.05,7.07,4.32,0.57,0,,,,,6.118709726,2473.15,2823567,3.397932819,200000
A2019,Z1666,55.16,2.75,15.6,2.41,7.58,5.2,0.73,0,,,,,7.495419414,2473.15,1121269,2.269083574,180000
A2019,Z1621,55.7,1.87,16.2,2.44,7.56,5.66,0.48,0,,,,,6.496630033,2473.15,698168.5,1.691865547,170000
A2019,S6977,50.3,1.59,14.04,7.87,10.93,3.03,0,0,,,,,8.161279002,2173.15,2023.937,2.683405587,80000
A2019,S6665,54.67,1.03,15.79,5.55,7.48,5.81,0.1,0,,,,,11.23863007,2173.15,4.44E-06,0.030927835,100000
A2019,S6729,55.23,2.59,14.5,2.42,7.27,4.33,0.52,0,,,,,12.16543463,2173.15,1.45E-06,0.041666667,80000
A2019,Z1468,56.2,2.4,15.1,2.11,7.04,4.8,0.53,0,,,,,6.991525672,2173.15,111411.1,1.445548269,150000
A2019,S6510,56.4,2.77,14.66,2.14,7.21,4.45,0.68,0,,,,,7.828349208,2173.15,6528.844,1.441925424,100000
A2019,Z1794,56.9,3.23,14.8,2.24,7.57,4.9,0.57,0,,,,,8.557195514,2173.15,6528.844,0.820717131,100000
A2019,S6879,58.2,2.22,14.81,2.09,7.19,4.61,0.8,0,,,,,6.865552237,2173.15,618.351,1.606266318,60000
A2019,S6777,58.99,2.76,14.65,2.13,7.02,4.43,0.82,0,,,,,6.640599673,2173.15,2023.937,2.160641174,80000
A2019,S6811,59.06,2.8,14.57,2.56,7.27,4.49,0.82,0,,,,,7.342451671,2173.15,618.351,2.058738049,60000
A2019,S6775,53.98,2.72,13.76,3.45,7.5,4.09,0.72,0,,,,,12.20142704,2023.15,1.01E-08,0,30000
A2019,S6889,57.68,2.39,14.46,2.04,7.08,4.61,0.78,0,,,,,8.359237258,2023.15,252.8789,0.845695852,60000
A2019,S6820,58.19,2.37,14.57,2.05,7.12,4.57,0.77,0,,,,,8.22426572,2023.15,252.8789,0.874943308,60000
A2019,S6973,50.58,1.34,13.89,7.83,10.96,2.91,0,0,,,,,9.46600387,1873.15,223.3682,1.235685109,40000
A2019,S6928,59.1,2.78,15.27,2.21,7.23,3.99,0.79,0,,,,,8.665172744,1673.15,3.472619,1.20067023,40000
