ref,run,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,CoO,NiO,H2O,CO2,total,_Fe3Fetotal,T_K,P_bar,_Fe3Fe2,olivine_forsterite,fO2,kd_FeTMg,kd_Fe2Mg
Bl2020,10,43.3,1.02,14,8.71,0.18,10.53,11.99,2.05,0.56,0.27,0.07,,,3.95,,97.28,,1523.15,13000,,0.905,,0.222,
Bl2020,12,44.01,1.15,15.19,8.85,0.2,9.6,10.53,2.71,0.79,0.28,,,,3.97,,97.6,,1473.15,13000,,0.918,,0.167,
Bl2020,15,43.61,0.97,13.61,9.14,0.19,10.9,12.36,2.18,0.57,0.22,0.08,,,3.72,,97.71,,11538.15,13000,,0.914,,0.195,
Bl2020,22,44.05,1,13.78,9.02,0.21,10.39,12.07,2.25,0.61,0.25,0.03,,,2.85,,96.69,,1538.15,10000,,0.949,,0.107,
Bl2020,23,43.78,0.91,12.62,8.86,0.17,12.32,12.3,1.87,0.53,0.23,0.08,,,3.3,,97.12,,1548.15,7000,,0.943,,0.144,
Bl2020,25,44.33,0.93,12.66,9,0.18,12.66,12.36,1.84,0.52,0.2,0.07,,,3.43,,98.38,,1553.15,7000,,0.953,,0.121,
Bl2020,28,44.05,0.91,12.66,8.91,0.18,12.81,12.42,2,0.52,0.21,0.06,,,3.17,,98.02,,1573.15,10000,,0.954,,0.119,
Bl2020,30,43.53,0.92,12.89,9.01,0.17,12.55,12.33,2.07,0.55,0.25,,,,3.73,,98.16,0.646,1553.15,13000,1.824858757,0.954,,0.116,0.327683616
Bl2020,32,43.12,0.99,13.38,9.44,0.19,12.44,11.21,2.22,0.6,0.22,0.04,,,3.62,,97.64,,1553.15,17000,,0.947,,0.126,
Bl2020,33,43.28,0.89,12.22,8.69,0.17,13.81,12.15,1.93,0.53,0.21,0.12,,,2.48,,97.65,0.314,1598.15,10000,0.457725948,,,,
Bl2020,35,44.53,0.9,12.54,8.73,0.18,13.19,12.23,1.94,0.54,0.21,0.04,,,1.97,,97.04,,1473.15,1500,,0.978,,0.056,
Bl2020,36,42.35,0.87,11.85,8.8,0.17,13.98,11.7,1.43,0.6,0.24,0.15,,,4.48,,96.94,,1598.15,7000,,,,,
Bl2020,38,43.6,0.87,12.14,8.97,0.18,14.41,11.98,2,0.52,0.22,0.14,,,2.99,,98.18,,1633.15,17000,,,,,
Bl2020,41,44.11,0.97,13.74,8.82,0.2,10.3,13.4,2.11,0.58,0.27,0.02,,,3.68,,98.36,,1473.15,7000,,,,0.128,
Bl2020,03-Jan,47.09,1.19,16.14,8.18,0.17,8.49,11.82,2.37,0.58,,0.02,,,5.82,,98.46,,1365.15,4000,,0.94,3.16E-09,0.252,
Bl2020,07-Feb,45.21,1.03,14.76,8.25,0.11,10.02,10.86,2.13,0.48,,0.02,,,4.7,,97.56,0.25,1471.15,4200,0.333333333,0.904,5.01E-06,,
Bl2020,07-Mar,45.73,1.1,16.14,7.62,0.2,6.91,11.8,2.19,0.53,,0.05,,,2.27,,98.15,0.236,1471.15,4200,0.308900524,0.877,7.94E-07,0.226,0.295811518
Bl2020,06-Apr,49.63,0.79,16.23,7.74,0.18,7.28,10.25,2.37,0.37,,0.04,,,4.37,,99.32,0.083,1428.15,4150,0.090512541,,7.94E-09,0.257,0.280261723
Bl2020,AN-1,45.31,0.94,12.94,9.57,0.19,13.08,13.22,2.24,0.57,0.24,0.06,,,0.34,,98.74,0.675,1673.15,7000,2.076923077,0.963,,0.089,0.273846154
Bl2020,AN-2,45.38,0.92,12.55,8.93,0.2,15.07,12.72,2.13,0.57,0.24,0.14,,,0.32,,99.22,0.58,1698.15,7000,1.380952381,,,,
Bl2020,AN-3,45.26,0.96,12.41,9.51,0.18,13.82,12.85,2.18,0.58,0.24,,,,0.35,,98.41,0.691,1673.15,10000,2.236245955,0.961,,0.101,0.326860841
Bl2020,BM17,45.58,0.75,14.61,8.58,0.2,10.91,10.99,2.28,0.17,0.13,0.03,,,6.7,,101.62,,1353.15,10000,,0.929,7.94E-09,0.17,
Bl2020,BM3,47.53,0.81,16.02,7.72,0.16,9.16,11.64,2.11,0.16,0.1,0.07,,,2.94,,98.42,,1473.15,10000,,0.886,,0.266,
Bl2020,BM33,45.37,0.7,13.88,7.3,0.34,13.63,10.3,2.23,0.14,0.08,0.13,,,4.46,,98.56,0.083,1473.15,7000,0.090512541,,,,
Bl2020,BM34,51.23,0.42,17.64,4.65,0.17,4.83,7.81,2.92,0.26,0.17,,,,7.2,,97.3,0.366,1373.15,7000,0.577287066,0.937,,0.121,0.190851735
Bl2020,BM37,45.93,0.82,15.85,7.58,0.15,8.35,11.73,2.67,0.16,0.09,0.01,,,5.2,,98.54,0.53,1423.15,7000,1.127659574,0.94,,0.122,0.259574468
Bl2020,BM38,46.44,0.79,14.99,8.49,0.17,11.34,11.29,2.15,0.15,0.08,0.05,,,2.5,,98.44,,1473.15,7000,,0.924,,0.192,
Bl2020,BM40,46.88,0.89,17.01,8.72,0.15,8.3,11.33,2.37,0.17,0.11,0.02,,,3.05,,99,0.272,1423.15,7000,0.373626374,0.895,,0.196,0.269230769
Bl2020,BM46,45.26,0.68,13.69,7.36,0.15,13.69,10.27,2.23,0.14,0.08,0.13,,,4.52,,98.2,0.104,1523.15,13000,0.116071429,,,,
Bl2020,BM6,46.88,0.86,16.13,6.63,0.16,9.41,10.96,2.15,0.15,0.12,0.06,,,4.42,,98.58,0.043,1423.15,10000,0.044932079,0.886,0.000000001,0.322,0.33646813
Bl2020,BM9,45.27,0.79,15.98,7.9,0.14,8.57,11.03,2.49,0.16,0.09,0.04,,,5.34,,98.61,,1373.15,10000,,0.884,0.00000001,0.25,
Bl2020,D-10,47.35,0.96,13.31,8.8,0.15,11.66,13.51,1.91,0.31,0.21,0.08,,,,,98.25,0.263,1553.15,1,0.356852103,0.91,1.55E-05,0.231,0.313432836
Bl2020,D-11,48.31,1,13.47,8.83,0.12,10.29,13.87,2.08,0.33,0.25,0.07,,,,,98.62,0.258,1514.15,1,0.347708895,0.898,3.31E-07,0.234,0.315363881
Bl2020,D-12,47.85,0.95,13,8.79,0.12,12.42,13.2,1.98,0.32,0.24,0.1,,,,,98.97,0.267,1569.15,1,0.36425648,0.918,2.40E-07,0.221,0.301500682
Bl2020,D-13,47.47,0.94,12.95,9.56,0.14,13.18,13.4,0.06,0.01,0.18,0.14,,,,,98.03,0.07,1556.15,1,0.075268817,0.89,4.79E-10,0.302,0.324731183
Bl2020,D-7,45.78,0.94,12.64,9.47,0.18,13.55,13.11,2.2,0.57,0.22,0.05,,,,,98.71,0.568,1573.15,1,1.314814815,0.973,0.001258925,0.067,0.155092593
Bl2020,D-8,48.82,0.97,13.44,6.78,0.13,12.73,13.89,0.94,0.3,0.16,0.13,,,,,98.29,0.085,1565.15,1,0.092896175,0.92,5.13E-08,0.287,0.313661202
Bl2020,HAB-18,49.78,0.82,17.33,7.69,0.12,4.19,8.77,3.24,0.77,,,,,5.4,,98.12,0.111,1289.15,3950,0.124859393,,3.98E-10,,
Bl2020,HAB-20,50.73,0.4,18.07,2.75,0.21,3.88,8.78,3.34,0.81,,,,,8.3,,97.26,0.759,1273.15,4060,3.149377593,,2.00E-07,,
Bl2020,HAB-23,50.69,0.52,18.04,3.51,0.2,3.87,9.11,3.5,0.78,,,,,8.3,,98.53,0.77,1298.15,4060,3.347826087,,1.26E-06,,
Bl2020,HAB-26/PID,58.5,0.23,16.14,2.63,0.15,2.08,6.07,3.85,1.01,,,,,7.9,,98.56,0.47,1225.15,3990,0.886792453,,0.0000001,,
Bl2020,MAS1_B4,48.7,1.14,18.27,10.7,,3.14,9.1,2.81,1.25,,,,,3,,98.18,0.289,1423.15,3000,0.406469761,,,,
Bl2020,MVO1,45.41,0.8,18.94,8.3,0.17,4.72,10.64,2.27,0.48,0.08,,,,7.58,,99.4,,1273.15,4030,,,2.00E-10,,
Bl2020,MVO2,46.89,0.81,20.83,8.15,0.17,4.49,11.1,2.41,0.57,0.09,,,,6.52,,102.2,,1273.15,4030,,,1.58E-10,,
Bl2020,PU1,47.64,0.819,13.97,9.51,0.18,14.01,11.29,1.08,0.41,0.06,0.16,,,,,99.14,0.078,1623.15,1,0.084598698,0.891,0.000000001,0.315,0.34164859
